raw_code,code,market,name,price,pct_change,turnover_rate,volume_ratio,pe_ttm,pb,momentum_5d,momentum_10d,momentum_20d,momentum_60d,momentum_ytd,amount_cny,market_cap_cny,float_cap_cny
sz000679,000679,sz,大连友谊,6.0,-0.5,1.18,0.66,-22.07,14.79,-3.54,-1.32,10.5,-8.26,-15.73,25340000.0,2138000000.0,2138000000.0
sz300040,300040,sz,九洲集团,5.99,3.28,7.23,1.28,87.84,1.48,-3.23,-10.33,-8.83,-20.98,-0.17,220860000.0,3854000000.0,3099000000.0
sz002485,002485,sz,ST雪发,5.99,0.34,0.45,1.03,-16.43,3.21,-1.64,3.63,14.31,25.84,42.62,14420000.0,3259000000.0000005,3259000000.0000005
sz002073,002073,sz,软控股份,5.99,0.84,4.28,1.82,15.62,0.95,6.02,5.09,10.11,5.83,-26.32,260080000.0,6136000000.0,6074000000.0
bj920832,920832,bj,齐鲁华信,5.99,-2.6,0.34,0.84,-67.97,1.15,-3.39,-6.26,2.22,-8.27,-16.57,2530000.0,831000000.0,742000000.0
sz300305,300305,sz,裕兴股份,5.98,-1.97,2.46,0.64,-9.07,1.16,-7.57,-3.08,21.79,-12.45,0.5,47090000.0,2245000000.0,1922000000.0
sz002141,002141,sz,贤丰控股,5.98,-7.29,13.37,0.78,540.33,7.65,-12.19,-11.01,4.36,80.66,60.32,840120000.0,6177000000.0,6177000000.0
sz002055,002055,sz,ST得润,5.98,-0.99,2.51,0.96,-136.03,2.6,3.46,7.55,11.15,-19.19,-11.28,89270000.0,3615000000.0,3531000000.0
sh600735,600735,sh,ST新华锦,5.98,-1.16,0.47,0.53,-19.72,2.4,-1.16,-8.98,-4.17,-16.94,25.89,12030000.0,2564000000.0,2544000000.0
sh600398,600398,sh,海澜之家,5.98,1.36,0.55,1.01,13.17,1.66,1.01,-2.13,-0.17,4.91,6.03,158320000.0,28720999999.999996,28720999999.999996
sz300639,300639,sz,凯普生物,5.97,-3.4,2.24,0.53,-382.56,1.01,-2.93,1.36,9.34,3.65,10.97,84850000.0,3860000000.0,3761999999.9999995
sz000571,000571,sz,新大洲A,5.97,-0.33,2.11,0.61,-32.75,332.24,-7.44,-16.15,-2.93,6.8,1.88,101520000.0,5010000000.0,4860000000.0
sh603126,603126,sh,中材节能,5.97,-0.33,0.76,0.79,111.24,1.78,-1.97,-2.13,5.11,-22.37,-11.03,27610000.0,3645000000.0000005,3645000000.0000005
sz300215,300215,sz,电科院,5.95,-1.16,0.76,0.58,155.77,2.24,-5.41,-6.59,0.17,-28.98,-6.42,33860000.0,4457000000.0,4457000000.0
sz300011,300011,sz,鼎汉技术,5.95,-1.0,0.96,0.48,-236.13,2.38,-1.49,-1.65,4.75,-8.18,-30.65,29080000.0,3603000000.0,3018000000.0
sz300732,300732,sz,设研院,5.94,-1.33,1.54,0.98,-12.11,0.8,-4.81,-4.04,8.0,-15.62,-20.8,33790000.0,2201000000.0,2199000000.0
sz002999,002999,sz,天禾股份,5.94,-0.83,2.07,0.73,38.24,1.71,-0.17,1.02,10.82,-3.41,-12.13,42310000.0,2064999999.9999998,2041000000.0
sz002560,002560,sz,通达股份,5.94,-1.33,3.21,0.9,34.76,1.63,-9.31,-9.17,-3.26,-35.15,-16.76,120930000.0,4368000000.0,3761999999.9999995
sz000565,000565,sz,渝三峡Ａ,5.93,-1.33,2.09,0.62,92.85,2.01,-1.17,-1.66,9.61,-12.47,-18.6,53870000.0,2571000000.0,2571000000.0
sz000153,000153,sz,丰原药业,5.92,-2.47,5.64,0.5,27.96,1.29,-2.47,1.37,11.28,6.09,-4.05,153630000.0,2751000000.0,2717000000.0
sz000592,000592,sz,平潭发展,5.91,-2.8,4.71,0.48,-95.85,6.44,-9.77,-11.92,1.55,-31.12,-61.62,534420000.0,11417000000.0,11318000000.0
