raw_code,code,market,name,price,pct_change,turnover_rate,volume_ratio,pe_ttm,pb,momentum_5d,momentum_10d,momentum_20d,momentum_60d,momentum_ytd,amount_cny,market_cap_cny,float_cap_cny,score,factor_momentum,factor_value,factor_liquidity,factor_activity,factor_daily_strength,factor_size,reasons
sz000061,000061,sz,农 产 品,6.15,1.82,1.56,1.96,28.03,1.41,6.22,4.41,4.59,-2.07,-39.88,171440000.0,12208000000.0,11035000000.0,54.4,46.4,66.7,30.5,70.5,90.3,29.4,量比与换手适中
sh601121,601121,sh,宝地矿业,7.6,4.54,2.23,3.69,27.9,1.68,3.83,4.83,12.09,15.71,4.0,134220000.0,7480000000.0,6080000000.0,54.1,81.2,63.9,17.4,41.1,70.9,11.1,中期趋势靠前
sz002603,002603,sz,以岭药业,16.11,0.12,0.86,0.91,19.66,2.55,-2.42,-3.99,-3.65,5.5,-2.78,190930000.0,26914999999.999996,22176000000.0,54.0,45.7,63.8,35.3,62.1,66.0,63.8,估值因子相对较强
sh600369,600369,sh,西南证券,4.15,2.98,0.54,3.81,22.17,1.05,4.01,0.73,-0.24,5.49,-5.77,147560000.0,27577000000.0,27577000000.0,54.0,50.8,77.1,22.6,27.8,93.1,64.9,估值相对占优
sz002074,002074,sz,国轩高科,27.87,3.49,1.63,3.48,14.86,1.69,6.09,0.04,-1.48,-13.1,-28.56,781720000.0,50576000000.0,48401000000.0,53.9,10.1,79.4,84.8,36.8,85.9,81.9,估值相对占优、成交活跃、市值稳定性较高
sz000063,000063,sz,中兴通讯,33.6,0.54,0.57,0.8,48.51,2.13,-0.21,-5.59,-1.41,-6.39,-10.24,765490000.0,160727000000.0,135328000000.0,53.8,23.8,43.4,84.6,57.3,72.0,95.3,成交活跃、市值稳定性较高
sz300454,300454,sz,深信服,113.85,-2.63,2.31,1.1,57.69,4.44,-0.62,-6.3,10.3,-5.05,-1.04,762130000.0,49133000000.0,32789000000.0,53.8,47.4,22.8,84.4,77.7,26.7,80.8,成交活跃、量比与换手适中、市值稳定性较高
sh600366,600366,sh,宁波韵升,11.65,0.95,1.63,1.41,25.76,1.99,-0.43,-5.44,6.68,-5.22,-14.91,207250000.0,12804000000.0,12804000000.0,53.7,42.0,61.7,38.9,79.4,77.9,31.9,量比与换手适中
sz000963,000963,sz,华东医药,27.38,0.37,0.5,0.63,13.71,1.94,-3.93,-7.19,-6.39,-3.66,-29.56,238690000.0,48017000000.0,47997000000.0,53.6,26.3,77.9,47.7,52.9,69.6,80.5,估值相对占优、市值稳定性较高
sz000683,000683,sz,博源化工,6.29,1.94,1.46,1.96,22.62,1.9,6.43,4.66,-0.32,-9.63,-11.9,303810000.0,23379000000.0,21000000000.0,53.5,19.0,66.9,59.3,69.7,92.0,58.1,估值因子相对较强
